Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Y Chen, C Wu, Y Huang","Enhancing structure modeling for relation extraction with fine-grained gating and co-attention",2022,"Neurocomputing","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925231221014806","",315,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,3,1,"… We apply a neural network to learn the affinity matrix and derive mutual attention weights … relation extraction datasets: SemEval 2010 Task 8 and FewRel-FS 2 . (1) SemEval 2010 Task 8 …","","https://scholar.google.com/scholar?q=related:jRTWoNXnLqcJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"S Yang, J Guo","Improved strategies of relation extraction based on graph convolutional model on tree structure for web information processing",2022,"Journal of Industrial Information Integration","Elsevier","https://www.sciencedirect.com/science/article/pii/S2452414X21000959","",325,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,2,1,"… by different neural networks. In this paper, two improvement relation extraction strategies … to those of the compared models on the SemEval 2010 Task 8 dataset. We found that the …","","https://scholar.google.com/scholar?q=related:k8SG6EQkKQsJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
1,"N Zhang, X Xu, L Tao, H Yu, H Ye, X Xie, ...","DeepKE: A Deep Learning Based Knowledge Extraction Toolkit for Knowledge Base Population",2022,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2201.03335","https://scholar.google.com/scholar?cites=11040807618383905247&as_sdt=2005&sciodt=2007&hl=en",351,"2022-03-25 10:39:45","","","","",,,,,1,1.00,0,7,1,"… We utilize six different neural networks in DeepKE for evaluation. Users can select models before … Like RE, we leverage six neural models to extract attributes from the given sentence to …","https://arxiv.org/pdf/2201.03335","https://scholar.google.com/scholar?q=related:3wEzPwjUOJkJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"G Wang, S Liu, F Wei","Weighted graph convolution over dependency trees for nontaxonomic relation extraction on public opinion information",2022,"Applied Intelligence","Springer","https://link.springer.com/article/10.1007/s10489-021-02596-9","",353,"2022-03-25 10:39:45","","10.1007/s10489-021-02596-9","","",,,,,0,0.00,0,3,1,"… We propose a neural model for nontaxonomic relation extraction that combines a weighted … Popular common domain datasets include the ACE dataset, SemEval-2010 task 8 dataset [28…","","https://scholar.google.com/scholar?q=related:JurlcsTBdbYJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
2,"H Wang, K Qin, RY Zakari, G Lu, J Yin","Deep neural network-based relation extraction: an overview",2022,"Neural Computing and …","Springer","https://link.springer.com/article/10.1007/s00521-021-06667-3","https://scholar.google.com/scholar?cites=3803038303129847095&as_sdt=2005&sciodt=2007&hl=en",377,"2022-03-25 10:39:45","","10.1007/s00521-021-06667-3","","",,,,,2,2.00,0,5,1,"… Hendrickx I, Kim SN, Kozareva Z, Nakov P, Ó Séaghdha D, Padó S, Pennacchiotti M, Romano L, Szpakowicz S (2009) Semeval-2010 task 8: multi-way classification of semantic …","https://arxiv.org/pdf/2101.01907","https://scholar.google.com/scholar?q=related:N0VC9S8bxzQJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"Q Li, N Yao, J Zhao, Y Zhang","Self attention mechanism of bidirectional information enhancement",2022,"Applied Intelligence","Springer","https://link.springer.com/article/10.1007/s10489-021-02492-2","",435,"2022-03-25 10:39:45","","10.1007/s10489-021-02492-2","","",,,,,0,0.00,0,4,1,"Self attention mechanism is widely used in relation extraction, emotion classification and other tasks. It can extract a wide range of relevance information in the text. The attention mode …","","https://scholar.google.com/scholar?q=related:7lDh9HlDBWQJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"C Qian, G Chunxiang, X Guo, W Suge, L Deyu","Inter-sentence Entity Relation Extraction based on GNN of Message Propagation",2022,"","researchsquare.com","https://www.researchsquare.com/article/rs-1202426/latest.pdf","",437,"2022-03-25 10:39:45","PDF","","","",,,,,0,0.00,0,5,1,"… The extraction of document-level intersentence relation … and SemEval-2010 Task 8[10] and other sentencelevel relation … -level relation extraction due to the advantages of graph neural …","https://www.researchsquare.com/article/rs-1202426/latest.pdf",""
5,"S Liang, W Zuo, Z Shi, S Wang, J Wang, X Zuo","A multi-level neural network for implicit causality detection in web texts",2022,"Neurocomputing","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925231222000996","https://scholar.google.com/scholar?cites=1830789745523472289&as_sdt=2005&sciodt=2007&hl=en",452,"2022-03-25 10:39:45","","","","",,,,,5,5.00,1,6,1,"… This section describes the linguistic background of causal relation and the AltLex dataset that is used in the experiments. It’sa widely held view that causality can be expressed explicitly …","https://arxiv.org/pdf/1908.07822","https://scholar.google.com/scholar?q=related:obda2JJFaBkJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"M Zhang, T Qian, B Liu","Exploit Feature and Relation Hierarchy for Relation Extraction",2022,"IEEE/ACM Transactions on Audio …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9722988/","",466,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,3,1,"… scale convolutional neural network to aggregate … relation extraction task, we follow the experimental settings in [24], [25] to evaluate our model on two datasets. (1) SemEval 2010 Task 8 …","https://ieeexplore.ieee.org/iel7/6570655/6633080/09722988.pdf",""
0,"Y Zhao, W Zuo, S Liang, X Yuan, Y Zhang, X Zuo","A Word-Granular Adversarial Attacks Framework for Causal Event Extraction",2022,"Entropy","mdpi.com","https://www.mdpi.com/1463510","",467,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,6,1,"… We evaluated our framework on the public datasets SemEval-2010 Task 8 [30] and Causal … In the first part of the Table 2, we chose traditional neural network models, such as CNN and …","https://www.mdpi.com/1099-4300/24/2/169/pdf","https://scholar.google.com/scholar?q=related:5VzPGah2bOMJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"W Li, T Qian, M Zhong, X Chen","Interactive Lexical and Semantic Graphs for Semisupervised Relation Extraction",2022,"IEEE Transactions on Neural …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9675808/","",504,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,4,1,"… the literature in relation exaction and graph neural networks (GNNs). … of neural models are proposed for RE tasks, including recurrent neural network (RNN) [31], convolutional neural …","https://ieeexplore.ieee.org/iel7/5962385/6104215/09675808.pdf","https://scholar.google.com/scholar?q=related:ozC8Yp1ZYUQJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"J Tan, W Hu, WW Liu","EPPAC: Entity Pre-typing Relation Classification with Prompt AnswerCentralizing",2022,"arXiv preprint arXiv:2203.00193","arxiv.org","https://arxiv.org/abs/2203.00193","",523,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,3,1,"Relation classification (RC) aims to predict the relationship between a pair of subject and object in a given context. Recently, prompt tuning approaches have achieved high …","https://arxiv.org/pdf/2203.00193",""
0,"M Ma, K Shuang","Joint Entity and Relation Extraction with Adaptive Thresholding",2022,"2022 4th Asia Pacific Information Technology …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3512353.3512374","",554,"2022-03-25 10:39:45","","10.1145/3512353.3512374","","",,,,,0,0.00,0,2,1,"… the neural network structure is able to model multiple relation instances without knowing the corresponding relation … Semeval-2010 task 8: Multi-way classification of semantic relations …","https://dl.acm.org/doi/pdf/10.1145/3512353.3512374",""
0,"Á Kovács, K Gémes, E Iklódi, G Recski","POTATO: exPlainable infOrmation exTrAcTion framewOrk",2022,"arXiv preprint arXiv:2201.13230","arxiv.org","https://arxiv.org/abs/2201.13230","",577,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,4,1,"We present POTATO, a task- and languageindependent framework for human-in-the-loop (HITL) learning of rule-based text classifiers using graph-based features. POTATO handles …","https://arxiv.org/pdf/2201.13230",""
0,"W Hu, L Liu, Y Sun, Y Wu, Z Liu, R Zhang, ...","NLIRE: A Natural Language Inference method for Relation Extraction",2022,"Journal of Web …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570826821000561","",579,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,7,1,"… relation type, we construct a relation description. These relation descriptions are the definition of relation… helps model understand the meaning of relation. The given target sentence is …","","https://scholar.google.com/scholar?q=related:pgQ9vfoxr6wJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"M Zhang, T Qian","Automatically Generating Counterfactuals for Relation Exaction",2022,"arXiv preprint arXiv:2202.10668","arxiv.org","https://arxiv.org/abs/2202.10668","",583,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,2,1,"… current deep neural models have … SemEval 2010 Task 8 dataset contains 9 directed relations and 1 Other class. (2) TACRED dataset contains 41 relation types and 1 no relation …","https://arxiv.org/pdf/2202.10668",""
0,"Y Rui, VIS Carmona, M Pourvali, Y Xing, WW Yi, ...","Knowledge Mining: A Cross-disciplinary Survey",2022,"Machine Intelligence …","Springer","https://link.springer.com/article/10.1007/s11633-022-1323-6","",604,"2022-03-25 10:39:45","","10.1007/s11633-022-1323-6","","",,,,,0,0.00,0,6,1,"… Distant supervision for relation extraction via piecewise convolutional neural networks. In … SemEval-2010 Task 8: Multi-way classification of semantic relations between pairs of …","https://www.ijac.net/en/article/id/1dca3803-f681-4bd1-80da-2b5f6453b66a",""
0,"H Ye, N Zhang, S Deng, X Chen, H Chen, ...","Ontology-enhanced Prompt-tuning for Few-shot Learning",2022,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2201.11332","",633,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,6,1,"… deep neural … relation extraction, we choose a variety of datasets to evaluate OntoPrompt, including sentence-level extraction datasets such as TACRED-Revisit [1], SemEval-2010 Task 8…","https://arxiv.org/pdf/2201.11332","https://scholar.google.com/scholar?q=related:DK36NR7q8xEJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
1,"Y Hu, A Chapman, G Wen, DW Hall","What Can Knowledge Bring to Machine Learning?—A Survey of Low-shot Learning for Structured Data",2022,"ACM Transactions on Intelligent …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3510030","https://scholar.google.com/scholar?cites=17190077467765270156&as_sdt=2005&sciodt=2007&hl=en",646,"2022-03-25 10:39:45","","10.1145/3510030","","",,,,,1,1.00,0,4,1,"… The neural network encoder that models each relation can be the siamese network with … 100 instances for each relation. Its also uses data from the SemEval-2010 task 8 [111] dataset. …","https://dl.acm.org/doi/pdf/10.1145/3510030","https://scholar.google.com/scholar?q=related:jGaYR2Fsj-4J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"B Lv, L Jin, Y Zhang, H Wang, X Li, Z Guo","Commonsense Knowledge-Aware Prompt Tuning for Few-Shot NOTA Relation Classification",2022,"Applied Sciences","mdpi.com","https://www.mdpi.com/1507182","",654,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,6,1,"… Relation network [19] adapted the convolutional neural network to extract the features of support and query samples, and the relation … SemEval-2010 task 8 dataset as the validation set. …","https://www.mdpi.com/2076-3417/12/4/2185/pdf",""
0,"M Kabir, AJ Almulhim, X Luo, MA Hasan","Informative Causality Extraction from Medical Literature via Dependency-tree based Patterns",2022,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2203.06592","",661,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,4,1,"… SemEval: This is a well-used dataset, built by combining the SemEval 2007 Task 4 dataset [28] and the SemEval 2010 Task 8 dataset [29]. The SemEval datasets provide predefined …","https://arxiv.org/pdf/2203.06592",""
0,"J Planas, D Firebanks-Quevedo, G Naydenova, ...","Beyond modeling: NLP Pipeline for efficient environmental policy analysis",2022,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2201.07105","",681,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,4,1,"… SemEval-2010 Task 8: Multi-Way Classification of Semantic Relations Between Pairs of … on heterogeneous graph neural network for joint entity and relation extraction. Knowledge-…","https://arxiv.org/pdf/2201.07105","https://scholar.google.com/scholar?q=related:Lwpd4UCJBeQJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"K Huang, J Huang, G Wang","System for entity and evidence-guided relation prediction and method of using the same",2022,"US Patent App. 17/002,506","Google Patents","https://patents.google.com/patent/US20220067278A1/en","",701,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,3,1,"… Those methods often involve using neural models to learn the relations. Progress has been made on neural models for RE. However, those neural models and related database only …","",""
1,"P Wongchaisuwat, D Klabjan","Truth validation with evidence",2022,"Knowledge and Information Systems","Springer","https://link.springer.com/article/10.1007/s10115-022-01663-y","https://scholar.google.com/scholar?cites=6390492697687676079&as_sdt=2005&sciodt=2007&hl=en",702,"2022-03-25 10:39:45","","10.1007/s10115-022-01663-y","","",,,,,1,1.00,1,2,1,"… In addition, we train a recurrent neural network model called LSTM-ER proposed by Miwa … Hendrickx I, Kim SN, Kozareva Z et al (2010) SemEval-2010 task 8: Multi-way classification of …","https://arxiv.org/pdf/1802.05786","https://scholar.google.com/scholar?q=related:r9RmEUCXr1gJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"J Fischbach, J Frattini, A Vogelsang, D Mendez, ...","Automatic Creation of Acceptance Tests by Extracting Conditionals from Requirements: NLP Approach and Case Study",2022,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2202.00932","",703,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,5,1,"… We feed the pooled information into a singlelayer feedforward neural network that uses a softmax layer, which calculates the probability that a sentence contains a conditional or not: = …","https://arxiv.org/pdf/2202.00932",""
0,"Y Lee, JJY Chung, TS Kim, JY Song, J Kim","Promptiverse: Scalable Generation of Scaffolding Prompts Through Human-AI Hybrid Knowledge Graph Annotation",2022,"","jyskwon.github.io","https://jyskwon.github.io/publications/CHI2022_Promptiverse.pdf","",729,"2022-03-25 10:39:45","PDF","","","",,,,,0,0.00,0,5,1,"… For cases where the knowledge relations are not best explained with this taxonomy, we also allow open relation, which is a relation freely definable by the lecture designer. In the next …","https://jyskwon.github.io/publications/CHI2022_Promptiverse.pdf",""
14,"K Zhao, H Xu, Y Cheng, X Li, K Gao","Representation iterative fusion based on heterogeneous graph neural network for joint entity and relation extraction",2021,"Knowledge-Based Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705121001519","https://scholar.google.com/scholar?cites=9388357608890258956&as_sdt=2005&sciodt=2007&hl=en",21,"2022-03-25 10:39:45","","","","",,,,,14,14.00,3,5,1,"… relation classification task, and significantly outperforms the previous methods on SemEval 2010 Task 8 … SemEval 2010 Task 8 does not establish a default split for development, we use …","","https://scholar.google.com/scholar?q=related:DFY97oAlSoIJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"W Hong, S Li, Z Hu, A Rasool, Q Jiang, ...","Improving Relation Extraction by Knowledge Representation Learning",2021,"2021 IEEE 33rd …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9643377/","",46,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,6,1,"… R is the predefined relation set. Recently, deep neural networks have applied to relation clas… In the experiment, we find that on the SemEval 2010 task 8 dataset, the model works better …","https://ieeexplore.ieee.org/iel7/9643150/9643151/09643377.pdf","https://scholar.google.com/scholar?q=related:r86oVrt2OWcJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
3,"M Asgari-Bidhendi, M Nasser, B Janfada, ...","Perlex: A bilingual persian-english gold dataset for relation extraction",2021,"Scientific …","hindawi.com","https://www.hindawi.com/journals/sp/2021/8893270/","https://scholar.google.com/scholar?cites=10800540381519579553&as_sdt=2005&sciodt=2007&hl=en",54,"2022-03-25 10:39:45","HTML","","","",,,,,3,3.00,1,4,1,"… relation extraction on the proposed bilingual dataset, including a nonneural model (as the baseline), three neural … We adopt the official evaluation method for the SemEval-2010-Task-8 …","https://www.hindawi.com/journals/sp/2021/8893270/","https://scholar.google.com/scholar?q=related:oYm81kA645UJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"Y Yu, K He, J Li","Adversarial training for supervised relation extraction",2021,"Tsinghua Science and Technology","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9614078/","",71,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,3,1,"… Experiments on the extension of the SemEval2010 Task 8 dataset have demonstrated that our … of various neural models are listed in Table 2. We compare our model with various neural …","https://ieeexplore.ieee.org/iel7/5971803/9614063/09614078.pdf","https://scholar.google.com/scholar?q=related:EfrkBpqa284J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"X Zhang, C Lu, W Ding, D Han, Y Shen, ...","Relation Extraction Method Based on Two-Way Attentions of Syntactic Knowledge",2021,"… Conference on Intelligent …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-81007-8_72","",74,"2022-03-25 10:39:45","","10.1007/978-3-030-81007-8_72","","",,,,,0,0.00,0,6,1,"… a neural network model named TWARL with a two-way attention mechanism to improve relation … This paper uses the SemEval-2010 Task 8 dataset to compare several other models. …","","https://scholar.google.com/scholar?q=related:dSJA9uJinb0J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"J Sun, Y Li, Y Shen, L Zhang, W Ding, ...","Selection gate-based networks for semantic relation extraction",2021,"International …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJES.2021.116100","",76,"2022-03-25 10:39:45","","10.1504/IJES.2021.116100","","",,,,,0,0.00,0,6,1,"… semantic relation toward the entity. We conduct experiments using the SemEval-2010 Task 8 … benchmark dataset show that our model achieves better performance than previous neural …","","https://scholar.google.com/scholar?q=related:e_Ue_TW3pZYJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"C Cho, YS Choi","Dependency tree positional encoding method for relation extraction",2021,"Proceedings of the 36th Annual ACM Symposium on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3412841.3441977","",82,"2022-03-25 10:39:45","","10.1145/3412841.3441977","","",,,,,0,0.00,0,2,1,"… [35] show the success of a neural architecture based on a GCN for relation extraction. Be… We conducted experiments on the TACRED and SemEval-2010 task 8 benchmark datasets …","https://dl.acm.org/doi/pdf/10.1145/3412841.3441977","https://scholar.google.com/scholar?q=related:48KB18kKoEQJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"Q Yue, X Li, D Li","Chinese Relation Extraction on Forestry Knowledge Graph Construction",2021,"… SYSTEMS SCIENCE AND …","TECH SCIENCE PRESS 871 …","","",83,"2022-03-25 10:39:45","CITATION","","","",,,,,0,0.00,0,3,1,"","",""
1,"N Taghizadeh, A Ebrahimi, H Faili","NSURL-2021 Task 1: Semantic Relation Extraction in Persian",2021,"NSURL 2021","aclanthology.org","https://aclanthology.org/2021.nsurl-1.pdf#page=22","https://scholar.google.com/scholar?cites=8818210194055733235&as_sdt=2005&sciodt=2007&hl=en",86,"2022-03-25 10:39:45","PDF","","","",,,,,1,1.00,0,3,1,"… relation types of the shared task include 9 bidirectional relations defined in SemEval 2010-task 8… Exploiting the syntax-model consistency for neural relation extraction. In Proceedings of …","https://aclanthology.org/2021.nsurl-1.pdf#page=22","https://scholar.google.com/scholar?q=related:859rW3OTYHoJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
9,"W Zhou, M Chen","An improved baseline for sentence-level relation extraction",2021,"arXiv preprint arXiv:2102.01373","arxiv.org","https://arxiv.org/abs/2102.01373","https://scholar.google.com/scholar?cites=1423492708614867798&as_sdt=2005&sciodt=2007&hl=en",87,"2022-03-25 10:39:45","","","","",,,,,9,9.00,5,2,1,"… We also show that confidence-based classification is effective on the SemEval-2010 task 8 … of the relation types, leading to heuristics to hack the benchmark. They show that neural RE …","https://arxiv.org/pdf/2102.01373","https://scholar.google.com/scholar?q=related:VgtZlRNDwRMJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
1,"J Long, Y Wang, X Wei, Z Ding, Q Qi, F Xie, Z Qian, ...","Entity-Centric Fully Connected GCN for Relation Classification",2021,"Applied Sciences","mdpi.com","https://www.mdpi.com/985372","https://scholar.google.com/scholar?cites=5225065301808574355&as_sdt=2005&sciodt=2007&hl=en",88,"2022-03-25 10:39:45","","","","",,,,,1,1.00,0,8,1,"… We evaluate the model on the popular SemEval 2010 Task 8 dataset and TACRED dataset. … We proposes a relation classification neural model based on graph convolutional network, …","https://www.mdpi.com/2076-3417/11/4/1377/pdf","https://scholar.google.com/scholar?q=related:k--EWjUpg0gJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
