Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
38,"S Zeng, R Xu, B Chang, L Li","Double graph based reasoning for document-level relation extraction",2020,"arXiv preprint arXiv:2009.13752","arxiv.org","https://arxiv.org/abs/2009.13752","https://scholar.google.com/scholar?cites=6630775516203009499&as_sdt=2005&sciodt=2007&hl=en",8,"2022-03-25 12:38:46","","","","",,,,,38,19.00,10,4,2,"… • We introduce a heterogeneous Mention-level Graph (hMG) with a graph-based neural net… For more detailed statistics about DocRED, we recommend readers to refer to the original …","https://arxiv.org/pdf/2009.13752","https://scholar.google.com/scholar?q=related:20WjXDM_BVwJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
37,"H Tang, Y Cao, Z Zhang, J Cao, F Fang, ...","Hin: Hierarchical inference network for document-level relation extraction",2020,"Pacific-Asia Conference …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-47426-3_16","https://scholar.google.com/scholar?cites=15144260464562964879&as_sdt=2005&sciodt=2007&hl=en",12,"2022-03-25 12:38:46","HTML","10.1007/978-3-030-47426-3_16","","",,,,,37,18.50,6,6,2,"… To predict the relation between two entities, we argue that … In this paper, we propose a new neural architecture, … We conduct thorough evaluation on DocRED dataset. Results …","https://link.springer.com/chapter/10.1007/978-3-030-47426-3_16","https://scholar.google.com/scholar?q=related:j4lEoKc4K9IJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
53,"H Wang, C Focke, R Sylvester, N Mishra, ...","Fine-tune bert for docred with two-step process",2019,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1909.11898","https://scholar.google.com/scholar?cites=12636173073467245668&as_sdt=2005&sciodt=2007&hl=en",2,"2022-03-25 12:38:46","","","","",,,,,53,17.67,11,5,3,"… relation between entity pairs. We fine-tune the whole model using annotated data in the DocRED … We also found that modeling the document-level relation extraction through a two-step …","https://arxiv.org/pdf/1909.11898","https://scholar.google.com/scholar?q=related:ZARfBHa0XK8J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
33,"X Han, T Gao, Y Lin, H Peng, Y Yang, C Xiao, ...","More data, more relations, more context and more openness: A review and outlook for relation extraction",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2004.03186","https://scholar.google.com/scholar?cites=8860907077483388111&as_sdt=2005&sciodt=2007&hl=en",55,"2022-03-25 12:38:46","","","","",,,,,33,16.50,5,7,2,"… for SRE and focus more on neural-based models. 2.3 Neural Relation Extraction Models Neural relation extraction (NRE) models introduce neural networks to automatically extract …","https://arxiv.org/pdf/2004.03186","https://scholar.google.com/scholar?q=related:z1wkNQpE-HoJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
16,"N Zhang, X Chen, X Xie, S Deng, C Tan, ...","Document-level relation extraction as semantic segmentation",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2106.03618","https://scholar.google.com/scholar?cites=13447926207478634863&as_sdt=2005&sciodt=2007&hl=en",10,"2022-03-25 12:38:46","","","","",,,,,16,16.00,3,6,1,"… state-of-the-art performance on three benchmark datasets DocRED, CDR, and GDA1. … entitylevel relation matrix Y , we map them to hidden representations z with a feedforward neural …","https://arxiv.org/pdf/2106.03618.pdf?ref=https://githubhelp.com","https://scholar.google.com/scholar?q=related:bxlusqKhoLoJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
28,"D Wang, W Hu, E Cao, W Sun","Global-to-local neural networks for document-level relation extraction",2020,"arXiv preprint arXiv:2009.10359","arxiv.org","https://arxiv.org/abs/2009.10359","https://scholar.google.com/scholar?cites=14501237680573508607&as_sdt=2005&sciodt=2007&hl=en",4,"2022-03-25 12:38:46","","","","",,,,,28,14.00,7,4,2,"… In this section, we show a few examples from the DocRED development set in Table 9, as a supplement to the case study in Section 4.5. (1) Logical reasoning is needed in Case 1. In …","https://arxiv.org/pdf/2009.10359","https://scholar.google.com/scholar?q=related:_-sX8ta-PskJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
13,"W Xu, K Chen, T Zhao","Document-level relation extraction with reconstruction",2021,"The 35th AAAI Conference on Artificial Intelligence …","aaai.org","https://www.aaai.org/AAAI21Papers/AAAI-5035.XuW.pdf","https://scholar.google.com/scholar?cites=4497609840594418961&as_sdt=2005&sciodt=2007&hl=en",36,"2022-03-25 12:38:46","PDF","","","",,,,,13,13.00,4,3,1,"… • Sequence-based Models: These models used different neural … as a relation indicator to assist relation classification between entity pair. Experimental results on a large-scale DocRED …","https://www.aaai.org/AAAI21Papers/AAAI-5035.XuW.pdf","https://scholar.google.com/scholar?q=related:EX3uFlK4aj4J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
11,"B Xu, Q Wang, Y Lyu, Y Zhu, Z Mao","Entity structure within and throughout: Modeling mention dependencies for document-level relation extraction",2021,"arXiv preprint arXiv:2102.10249","arxiv.org","https://arxiv.org/abs/2102.10249","https://scholar.google.com/scholar?cites=5540554631237103783&as_sdt=2005&sciodt=2007&hl=en",31,"2022-03-25 12:38:46","","","","",,,,,11,11.00,2,5,1,"… , we instantiate each sij as neural layers with specific parameters… As for the specific design of these neural layers, we propose … of the proposed approach on DocRED. Again, we consider …","https://arxiv.org/pdf/2102.10249","https://scholar.google.com/scholar?q=related:p3CI_RQB5EwJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
10,"J Yang, SC Han, J Poon","A survey on extraction of causal relations from natural language text",2022,"Knowledge and Information Systems","Springer","https://link.springer.com/article/10.1007/s10115-022-01665-w","https://scholar.google.com/scholar?cites=268616559402883951&as_sdt=2005&sciodt=2007&hl=en",106,"2022-03-25 12:38:46","HTML","10.1007/s10115-022-01665-w","","",,,,,10,10.00,3,3,1,"… Next, we list benchmark datasets and modeling assessment methods for causal relation … models include convolutional neural networks (CNNs), recurrent neural networks (RNNs), …","https://link.springer.com/article/10.1007/s10115-022-01665-w","https://scholar.google.com/scholar?q=related:bxv_a1ZRugMJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
10,"D Lou, Z Liao, S Deng, N Zhang, H Chen","MLBiNet: A cross-sentence collective event detection network",2021,"arXiv preprint arXiv:2105.09458","arxiv.org","https://arxiv.org/abs/2105.09458","https://scholar.google.com/scholar?cites=1021408025311977094&as_sdt=2005&sciodt=2007&hl=en",140,"2022-03-25 12:38:46","","","","",,,,,10,10.00,2,5,1,"… Edgeenhanced graph convolution networks for event detection with syntactic relation. In … Event detection: Gate diversity and syntactic importance scoresfor graph convolution neural …","https://arxiv.org/pdf/2105.09458","https://scholar.google.com/scholar?q=related:hh509y_FLA4J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
19,"X Wang, Z Wang, X Han, W Jiang, R Han, Z Liu, ...","MAVEN: A massive general domain event detection dataset",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2004.13590","https://scholar.google.com/scholar?cites=10566315477934742180&as_sdt=2005&sciodt=2007&hl=en",142,"2022-03-25 12:38:46","","","","",,,,,19,9.50,3,7,2,"… Existing small-scale datasets are not sufficient for training and stably benchmarking increasingly sophisticated modern neural methods. (2) Low coverage. Limited event types of existing …","https://arxiv.org/pdf/2004.13590","https://scholar.google.com/scholar?q=related:pBoDx_EXo5IJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
17,"X Han, L Wang","A novel document-level relation extraction method based on BERT and entity information",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9098945/","https://scholar.google.com/scholar?cites=1851854502728491998&as_sdt=2005&sciodt=2007&hl=en",6,"2022-03-25 12:38:46","","","","",,,,,17,8.50,9,2,2,"… paper, we select the DocRED dataset [3], which is a document-level relation extraction data … state-of-the-art neuralnetwork in sentence-level relation extraction, a model that is designed …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09098945.pdf","https://scholar.google.com/scholar?q=related:3uPW0tsbsxkJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
14,"Z Liu, Y Lin, M Sun","Representation learning for natural language processing",2020,"","library.oapen.org","https://library.oapen.org/handle/20.500.12657/39974","https://scholar.google.com/scholar?cites=11078199532261575279&as_sdt=2005&sciodt=2007&hl=en",131,"2022-03-25 12:38:46","BOOK","","","",,,,,14,7.00,5,3,2,"… It was about 20 years after distributed representation was proposed, neural probabilistic … come to the popularity of distributed representation and neural network techniques in NLP. The …","https://library.oapen.org/bitstream/handle/20.500.12657/39974/2020_Book_RepresentationLearningForNatur.pdf?sequence=1","https://scholar.google.com/scholar?q=related:b4pZn8ervZkJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
13,"Y Qin, Y Lin, R Takanobu, Z Liu, P Li, H Ji, ...","Erica: Improving entity and relation understanding for pre-trained language models via contrastive learning",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2012.15022","https://scholar.google.com/scholar?cites=11536461770171246236&as_sdt=2005&sciodt=2007&hl=en",40,"2022-03-25 12:38:46","","","","",,,,,13,6.50,2,7,2,"… in supervised datasets of DocRED are recognized by human … BERT model on training set of DocRED for NER tagging and re-… In Advances in neural information processing systems 15: …","https://arxiv.org/pdf/2012.15022","https://scholar.google.com/scholar?q=related:nGbub9u-GaAJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
12,"Y Hong, Y Liu, S Yang, K Zhang, A Wen, J Hu","Improving graph convolutional networks based on relation-aware attention for end-to-end relation extraction",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9036871/","https://scholar.google.com/scholar?cites=13289590331913588976&as_sdt=2005&sciodt=2007&hl=en",67,"2022-03-25 12:38:46","","","","",,,,,12,6.00,2,6,2,"… ABSTRACT In this paper, we present a novel end-to-end neural … novel relation-aware attention mechanism to obtain the relation … We propose a novel end-to-end neural model to jointly …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09036871.pdf","https://scholar.google.com/scholar?q=related:8NAs4P4bbrgJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
6,"Y Yao, A Zhang, X Han, M Li, C Weber, ...","Visual distant supervision for scene graph generation",2021,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content/ICCV2021/html/Yao_Visual_Distant_Supervision_for_Scene_Graph_Generation_ICCV_2021_paper.html","https://scholar.google.com/scholar?cites=12894686906090898138&as_sdt=2005&sciodt=2007&hl=en",90,"2022-03-25 12:38:46","","","","",,,,,6,6.00,1,6,1,"… and widely adopted Neural Motif (Motif) [54]. For fair comparisons, all the neural models in our … Docred: A large-scale document-level relation extraction dataset. In Proceedings of ACL, …","http://openaccess.thecvf.com/content/ICCV2021/papers/Yao_Visual_Distant_Supervision_for_Scene_Graph_Generation_ICCV_2021_paper.pdf","https://scholar.google.com/scholar?q=related:2sJtD2wh87IJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
6,"K Zaporojets, J Deleu, C Develder, ...","DWIE: An entity-centric dataset for multi-task document-level information extraction",2021,"Information Processing & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306457321000662","https://scholar.google.com/scholar?cites=6914197513866358138&as_sdt=2005&sciodt=2007&hl=en",109,"2022-03-25 12:38:46","","","","",,,,,6,6.00,2,4,1,"… -based neural … DocRED, BC5CDR, and the final version of our DWIE dataset) RE datasets. We note how other datasets that define the relation in terms of entities (BC5CDR and DocRED…","https://arxiv.org/pdf/2009.12626","https://scholar.google.com/scholar?q=related:eq3kgAEq9F8J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
11,"K Kim, Y Hur, G Kim, H Lim","GREG: A global level relation extraction with knowledge graph embedding",2020,"Applied Sciences","mdpi.com","https://www.mdpi.com/637170","https://scholar.google.com/scholar?cites=15950243715719353590&as_sdt=2005&sciodt=2007&hl=en",52,"2022-03-25 12:38:46","","","","",,,,,11,5.50,3,4,2,"… neural network, the LSTM encoder converts it to a fixed-sized output vector o v . o v acts as a representation of the relation … While we used the standard test set for the DocRED dataset [4…","https://www.mdpi.com/2076-3417/10/3/1181/pdf","https://scholar.google.com/scholar?q=related:9tRbxCamWt0J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
5,"C Yuan, H Huang, C Feng, G Shi, X Wei","Document-level relation extraction with entity-selection attention",2021,"Information Sciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0020025521003285","https://scholar.google.com/scholar?cites=5102376279674362359&as_sdt=2005&sciodt=2007&hl=en",34,"2022-03-25 12:38:46","","","","",,,,,5,5.00,1,5,1,"… To demonstrate the performance of our model, we evaluate the model on the DocRED, … outperforms all traditional neural networks under the document-level relation extraction. The …","","https://scholar.google.com/scholar?q=related:95leXDFIz0YJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
5,"S Zeng, Y Wu, B Chang","Sire: Separate intra-and inter-sentential reasoning for document-level relation extraction",2021,"arXiv preprint arXiv:2106.01709","arxiv.org","https://arxiv.org/abs/2106.01709","https://scholar.google.com/scholar?cites=10802978733405697113&as_sdt=2005&sciodt=2007&hl=en",41,"2022-03-25 12:38:46","","","","",,,,,5,5.00,2,3,1,"… 40.7% relation facts can only be extracted from multiple sentences. 61.1% relation instances … We show two examples from DocRED in Figure 1. We follow the standard split of the dataset…","https://arxiv.org/pdf/2106.01709","https://scholar.google.com/scholar?q=related:WfS-4Ovj65UJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
5,"W Xu, K Chen, T Zhao","Discriminative reasoning for document-level relation extraction",2021,"arXiv preprint arXiv:2106.01562","arxiv.org","https://arxiv.org/abs/2106.01562","https://scholar.google.com/scholar?cites=18250138611803658078&as_sdt=2005&sciodt=2007&hl=en",53,"2022-03-25 12:38:46","","","","",,,,,5,5.00,2,3,1,"… Thus, graph neural networks are applied to the constructed structural graph to model these … For more detailed statistics about DocRED, we recommend readers to refer to the original …","https://arxiv.org/pdf/2106.01562","https://scholar.google.com/scholar?q=related:Xpcywl-ERf0J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
9,"H Chen, P Hong, W Han, N Majumder, ...","Dialogue relation extraction with document-level heterogeneous graph attention networks",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2009.05092","https://scholar.google.com/scholar?cites=4067652559604544592&as_sdt=2005&sciodt=2007&hl=en",54,"2022-03-25 12:38:46","","","","",,,,,9,4.50,2,5,2,"… In this paper, we propose a simple yet effective attention-based heterogeneous graph neural network to tackle the dialogue relation extraction task in an inductive manner. We use multi-…","https://arxiv.org/pdf/2009.05092","https://scholar.google.com/scholar?q=related:UPTvnHM0czgJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
9,"M Ostendorff, T Ruas, M Schubotz, G Rehm, ...","Pairwise multi-class document classification for semantic relations between wikipedia articles",2020,"Proceedings of the ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3383583.3398525","https://scholar.google.com/scholar?cites=15715899719839174946&as_sdt=2005&sciodt=2007&hl=en",143,"2022-03-25 12:38:46","","10.1145/3383583.3398525","","",,,,,9,4.50,2,5,2,"… relation” to indicate connections between two documents above the syntax level [20]. We model the task of finding the relation r of a … Recently, Transformer-based [36] neural language …","https://dl.acm.org/doi/pdf/10.1145/3383583.3398525","https://scholar.google.com/scholar?q=related:ItGsXocXGtoJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
4,"M Eberts, A Ulges","An end-to-end model for entity-level relation extraction using multi-instance learning",2021,"arXiv preprint arXiv:2102.05980","arxiv.org","https://arxiv.org/abs/2102.05980","https://scholar.google.com/scholar?cites=8935994746580788861&as_sdt=2005&sciodt=2007&hl=en",14,"2022-03-25 12:38:46","","","","",,,,,4,4.00,2,2,1,"… We also report the first results for end-to-end relation extraction on DocRED as a reference … Instead, a single neural model is able to jointly learn all tasks necessary for document-level …","https://arxiv.org/pdf/2102.05980","https://scholar.google.com/scholar?q=related:fWa0iOAHA3wJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
7,"Z Jin, Y Yang, X Qiu, Z Zhang","Relation of the relations: A new paradigm of the relation extraction problem",2020,"arXiv preprint arXiv:2006.03719","arxiv.org","https://arxiv.org/abs/2006.03719","https://scholar.google.com/scholar?cites=13176228703932974074&as_sdt=2005&sciodt=2007&hl=en",62,"2022-03-25 12:38:46","","","","",,,,,7,3.50,2,4,2,"… We then propose a data-driven approach without hand-crafted rules, using Graph Neural Networks (GNNs) to model each relation as a node to learn the pair-wise dependency of every …","https://arxiv.org/pdf/2006.03719.pdf?ref=https://githubhelp.com","https://scholar.google.com/scholar?q=related:-gM7ETJe27YJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
7,"X Du, AM Rush, C Cardie","Grit: Generative role-filler transformers for document-level event entity extraction",2020,"arXiv preprint arXiv:2008.09249","arxiv.org","https://arxiv.org/abs/2008.09249","https://scholar.google.com/scholar?cites=6700113010243176669&as_sdt=2005&sciodt=2007&hl=en",122,"2022-03-25 12:38:46","","","","",,,,,7,3.50,2,3,2,"… Fortunately, neural models for event extraction that have the ability to model longer contexts … also observe our model recognizes the coreference relation between candidate role-filler …","https://arxiv.org/pdf/2008.09249","https://scholar.google.com/scholar?q=related:3YiEukiV-1wJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
3,"L Deng, B Yang, Z Kang, S Yang, S Wu","A noisy label and negative sample robust loss function for DNN-based distant supervised relation extraction",2021,"Neural Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S0893608021001180","https://scholar.google.com/scholar?cites=5982505567127609339&as_sdt=2005&sciodt=2007&hl=en",15,"2022-03-25 12:38:46","","","","",,,,,3,3.00,1,5,1,"… As a major method for relation extraction, distantly supervised relation extraction (DSRE) … noised dataset, human-annotated dataset of Docred, as well as the artificially noised dataset of …","","https://scholar.google.com/scholar?q=related:-x9w2x0hBlMJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
3,"T Nayak, N Majumder, P Goyal, S Poria","Deep neural approaches to relation triplets extraction: A comprehensive survey",2021,"Cognitive Computation","Springer","https://link.springer.com/article/10.1007/s12559-021-09917-7","https://scholar.google.com/scholar?cites=6460066975267823474&as_sdt=2005&sciodt=2007&hl=en",18,"2022-03-25 12:38:46","","10.1007/s12559-021-09917-7","","",,,,,3,3.00,1,4,1,"… WikiReading [42] and DocRED [43] are two document-level relation extraction datasets created using Wikipedia articles and Wikidata items. WikiReading is a slot-filling dataset where a …","https://arxiv.org/pdf/2103.16929","https://scholar.google.com/scholar?q=related:ch8S5q_EplkJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
3,"M Zhou, D Ji, F Li","Relation Extraction in Dialogues: A Deep Learning Model Based on the Generality and Specialty of Dialogue Text",2021,"IEEE/ACM Transactions on Audio, Speech …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9439807/","https://scholar.google.com/scholar?cites=3437205821492968881&as_sdt=2005&sciodt=2007&hl=en",70,"2022-03-25 12:38:46","","","","",,,,,3,3.00,1,3,1,"… neural model for dialoguebased relation extraction, which includes four modules to handle the problems existing in the task from different aspects: (1) the word-relation … , called DocRED, …","https://ieeexplore.ieee.org/iel7/6570655/6633080/09439807.pdf","https://scholar.google.com/scholar?q=related:sT3-yXtosy8J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
